,DELIVERY_START,load_forecast,coal_power_available,gas_power_available,nucelear_power_available,wind_power_forecasts_average,solar_power_forecasts_average,wind_power_forecasts_std,solar_power_forecasts_std,predicted_spot_price,year,month,day,seconds
8634,2023-01-05 20:00:00+01:00,57316.0,2806.0,11945.0,43918.0,4379.0,0.0,187.4270905864853,0.0,157.59,2023,01,05,72000
10486,2023-03-25 00:00:00+01:00,44835.0,3386.0,11360.0,37505.0,13695.0,0.0,65.91973729245196,0.0,91.79,2023,03,25,0
10496,2023-03-25 10:00:00+01:00,45154.0,3386.0,11360.0,37505.0,12877.0,6322.0,49.42254784300438,57.09766887404173,76.07,2023,03,25,36000
10574,2023-03-28 17:00:00+02:00,51117.0,3386.0,11952.0,36990.0,4931.0,5157.0,553.1392488075928,86.41742089949655,89.36,2023,03,28,61200
9238,2023-01-31 00:00:00+01:00,66668.0,2806.0,11945.0,45240.0,2417.0,0.0,25.93178583013289,0.0,143.66,2023,01,31,0
9616,2023-02-15 18:00:00+01:00,62798.0,3386.0,11945.0,45090.0,2445.0,190.0,144.18417179713393,7.256469472570603,165.25,2023,02,15,64800
8900,2023-01-16 22:00:00+01:00,62797.0,3386.0,11945.0,47760.0,4637.0,0.0,646.4207829049344,0.0,132.01,2023,01,16,79200
8992,2023-01-20 18:00:00+01:00,76114.0,2226.0,11945.0,45280.0,3410.0,0.0,144.03561067616977,0.0,205.06,2023,01,20,64800
9938,2023-03-02 04:00:00+01:00,61581.0,3386.0,11945.0,39615.0,4031.0,0.0,29.28471907397837,0.0,131.07,2023,03,02,14400
9232,2023-01-30 18:00:00+01:00,76017.0,2806.0,11945.0,44430.0,3221.0,85.0,82.44530173258913,3.304638394837617,174.77,2023,01,30,64800
8925,2023-01-17 23:00:00+01:00,65841.0,3386.0,11945.0,46850.0,5255.0,0.0,573.0896935257144,0.0,147.99,2023,01,17,82800
10016,2023-03-05 10:00:00+01:00,57407.0,3386.0,11945.0,38081.0,1198.0,6814.0,22.331430998875245,22.347010737208205,139.02,2023,03,05,36000
9192,2023-01-29 02:00:00+01:00,66060.0,3386.0,11945.0,44845.0,2232.0,0.0,34.214672157565644,0.0,136.28,2023,01,29,7200
8783,2023-01-12 01:00:00+01:00,53207.0,3386.0,11945.0,46265.0,13838.0,0.0,50.13071149798345,0.0,98.14,2023,01,12,3600
10103,2023-03-09 01:00:00+01:00,50372.0,3386.0,11945.0,38315.0,13367.0,0.0,72.35228359337712,0.0,112.42,2023,03,09,3600
10331,2023-03-18 13:00:00+01:00,46778.0,3386.0,11480.0,37115.0,6278.0,6299.0,44.39590895596296,53.83067740671064,69.65,2023,03,18,46800
9349,2023-02-04 15:00:00+01:00,54493.0,3386.0,11945.0,46135.0,2113.0,3842.0,125.47623565554484,67.622827694476,131.57,2023,02,04,54000
9682,2023-02-18 12:00:00+01:00,53173.0,2226.0,11945.0,42275.0,7216.0,6691.0,165.262358263531,28.720196259820675,112.6,2023,02,18,43200
8583,2023-01-03 17:00:00+01:00,58478.0,3386.0,11945.0,42390.0,7666.0,162.0,178.18601614382217,18.377781616475293,169.26,2023,01,03,61200
9321,2023-02-03 11:00:00+01:00,67687.0,3386.0,11945.0,46955.0,5441.0,5418.0,251.09876191509628,29.55398295486976,165.08,2023,02,03,39600
10098,2023-03-08 20:00:00+01:00,58247.0,3386.0,11945.0,39815.0,11452.0,0.0,948.379862863882,0.0,172.77,2023,03,08,72000
8884,2023-01-16 06:00:00+01:00,58387.0,3386.0,11945.0,47760.0,13916.0,0.0,437.5185374223992,0.0,69.79,2023,01,16,21600
10427,2023-03-22 13:00:00+01:00,51266.0,3386.0,11945.0,38145.0,10229.0,7288.0,66.54341548035269,156.83582857301172,83.33,2023,03,22,46800
8839,2023-01-14 09:00:00+01:00,55208.0,3386.0,11945.0,46265.0,14284.0,893.0,39.568588585068106,9.02936386268188,125.19,2023,01,14,32400
9223,2023-01-30 09:00:00+01:00,76698.0,2806.0,11945.0,44430.0,6376.0,1529.0,13.2197366807548,7.06390067954371,171.34,2023,01,30,32400
9646,2023-02-17 00:00:00+01:00,54809.0,2806.0,11945.0,44655.0,6486.0,0.0,121.40996287359351,0.0,134.85,2023,02,17,0
10260,2023-03-15 14:00:00+01:00,55847.0,3386.0,11945.0,38315.0,2072.0,7588.0,61.67074708280788,76.83581085708276,103.42,2023,03,15,50400
