,DELIVERY_START,load_forecast,coal_power_available,gas_power_available,nucelear_power_available,wind_power_forecasts_average,solar_power_forecasts_average,wind_power_forecasts_std,solar_power_forecasts_std,predicted_spot_price,year,month,day,seconds
10102,2023-03-09 00:00:00+01:00,51561.0,3386.0,11945.0,38315.0,13292.0,0.0,126.99108352210214,0.0,126.19,2023,03,09,0
9340,2023-02-04 06:00:00+01:00,53063.0,3386.0,11945.0,45755.0,2471.0,0.0,36.8567266676463,0.0,125.41,2023,02,04,21600
10291,2023-03-16 21:00:00+01:00,50184.0,3386.0,11945.0,38315.0,8188.0,0.0,179.40114667574272,0.0,134.66,2023,03,16,75600
9615,2023-02-15 17:00:00+01:00,56964.0,3386.0,11945.0,45090.0,1863.0,1127.0,152.21575122382993,28.28779253227799,141.85,2023,02,15,61200
8794,2023-01-12 12:00:00+01:00,62242.0,3386.0,11945.0,46265.0,14640.0,3389.0,60.21065959954086,32.2695449210514,151.05,2023,01,12,43200
10318,2023-03-18 00:00:00+01:00,47332.0,3386.0,11480.0,38215.0,5511.0,0.0,159.48925835118732,0.0,107.08,2023,03,18,0
8705,2023-01-08 19:00:00+01:00,54110.0,3386.0,11945.0,45350.0,11283.0,0.0,319.5887089012129,0.0,132.69,2023,01,08,68400
10111,2023-03-09 09:00:00+01:00,58991.0,3386.0,11945.0,38315.0,10959.0,3166.0,459.1282340415572,96.8820622557555,154.29,2023,03,09,32400
10000,2023-03-04 18:00:00+01:00,56525.0,3386.0,11945.0,38081.0,2741.0,281.0,98.8809890727231,8.553612436525615,140.65,2023,03,04,64800
9266,2023-02-01 04:00:00+01:00,56269.0,2806.0,11945.0,46139.0,5966.0,0.0,108.9381907861734,0.0,117.38,2023,02,01,14400
8656,2023-01-06 18:00:00+01:00,58589.0,2806.0,11945.0,44440.0,5725.0,0.0,131.2679919640945,0.0,153.35,2023,01,06,64800
9526,2023-02-12 00:00:00+01:00,60025.0,3386.0,11945.0,44480.0,2607.0,0.0,87.75107767991796,0.0,153.58,2023,02,12,0
8908,2023-01-17 06:00:00+01:00,63767.0,3386.0,11945.0,46850.0,2019.0,0.0,141.09479731749605,0.0,127.65,2023,01,17,21600
9413,2023-02-07 07:00:00+01:00,72373.0,3386.0,11945.0,44955.0,5797.0,57.0,139.26310501457567,3.750381244236933,167.71,2023,02,07,25200
10569,2023-03-28 12:00:00+02:00,56458.0,3386.0,11952.0,36990.0,4054.0,9525.0,104.39743066480008,110.42549909179974,120.79,2023,03,28,43200
10004,2023-03-04 22:00:00+01:00,57623.0,3386.0,11945.0,38081.0,3364.0,0.0,123.09356358813156,0.0,154.16,2023,03,04,79200
9604,2023-02-15 06:00:00+01:00,64412.0,3386.0,11945.0,45090.0,3617.0,0.0,47.18673791749219,0.0,130.53,2023,02,15,21600
9021,2023-01-21 23:00:00+01:00,68735.0,3256.0,11945.0,43630.0,5805.0,0.0,241.6322405692992,0.0,152.41,2023,01,21,82800
8862,2023-01-15 08:00:00+01:00,49111.0,3386.0,11945.0,46265.0,12962.0,180.0,98.27440906525062,1.8515141304249731,99.97,2023,01,15,28800
10600,2023-03-29 19:00:00+02:00,50814.0,3386.0,11952.0,38320.0,7552.0,651.0,247.40849037798017,7.821622451753725,108.11,2023,03,29,68400
10113,2023-03-09 11:00:00+01:00,57512.0,3386.0,11945.0,38315.0,11914.0,5964.0,717.5947775073914,129.10290013601366,138.42,2023,03,09,39600
