,DELIVERY_START,spot_id_delta
0,2022-01-01 02:00:00+01:00,-36.87477034017871
1,2022-01-01 03:00:00+01:00,-12.643587696642406
2,2022-01-01 04:00:00+01:00,-1.9501934473890188
4,2022-01-01 06:00:00+01:00,0.1999074242149205
5,2022-01-01 07:00:00+01:00,-0.943991642841432
7,2022-01-01 09:00:00+01:00,-17.576595700702775
8,2022-01-01 10:00:00+01:00,-12.352031408308008
9,2022-01-01 11:00:00+01:00,-15.489499404998014
11,2022-01-01 13:00:00+01:00,-27.5095412656154
12,2022-01-01 14:00:00+01:00,-33.89783067375887
14,2022-01-01 16:00:00+01:00,-17.74669934962553
15,2022-01-01 17:00:00+01:00,-46.160452984618274
16,2022-01-01 18:00:00+01:00,-39.03729394015591
17,2022-01-01 19:00:00+01:00,-38.75089443169465
18,2022-01-01 20:00:00+01:00,-19.33198011599005
19,2022-01-01 21:00:00+01:00,-25.91798950729928
20,2022-01-01 22:00:00+01:00,-18.83325708628594
21,2022-01-01 23:00:00+01:00,-6.59139866462651
22,2022-01-02 00:00:00+01:00,-19.24867350329962
23,2022-01-02 01:00:00+01:00,-5.555391644908617
24,2022-01-02 02:00:00+01:00,-4.384747675139487
25,2022-01-02 03:00:00+01:00,-23.44645991952956
26,2022-01-02 04:00:00+01:00,-20.230647956070776
27,2022-01-02 05:00:00+01:00,-28.905751875489862
28,2022-01-02 06:00:00+01:00,-25.989094416539277
30,2022-01-02 08:00:00+01:00,-26.20866451799513
31,2022-01-02 09:00:00+01:00,-36.79114987540049
33,2022-01-02 11:00:00+01:00,-39.971542757417104
34,2022-01-02 12:00:00+01:00,-29.58732150035561
35,2022-01-02 13:00:00+01:00,-9.523172451943026
36,2022-01-02 14:00:00+01:00,15.705232053040696
39,2022-01-02 17:00:00+01:00,52.41684925093634
40,2022-01-02 18:00:00+01:00,47.88583496718097
41,2022-01-02 19:00:00+01:00,33.48666397545618
42,2022-01-02 20:00:00+01:00,29.12162636729994
43,2022-01-02 21:00:00+01:00,27.352887516161477
44,2022-01-02 22:00:00+01:00,0.7534768794603579
