,DELIVERY_START,spot_id_delta
3074,2022-05-13 04:00:00+02:00,6.109229920786163
6495,2022-10-08 17:00:00+02:00,-9.543322366505578
4308,2022-07-06 14:00:00+02:00,-62.02455350686921
6956,2022-10-27 22:00:00+02:00,-18.2905256837892
8634,2023-01-05 20:00:00+01:00,-18.345470820353057
1478,2022-03-05 07:00:00+01:00,-6.6142545604170095
7351,2022-11-13 09:00:00+01:00,16.15386195995788
5102,2022-08-08 16:00:00+02:00,-47.56998217988598
2532,2022-04-20 14:00:00+02:00,-4.890673333333325
1096,2022-02-17 09:00:00+01:00,-1.8350385964912164
2472,2022-04-18 02:00:00+02:00,-4.103596247654792
56,2022-01-03 10:00:00+01:00,-22.18348738355793
2706,2022-04-27 20:00:00+02:00,-4.578599888548297
8373,2022-12-25 23:00:00+01:00,-23.357306668733685
6570,2022-10-11 20:00:00+02:00,-40.86164115145567
4991,2022-08-04 01:00:00+02:00,7.183036149472002
10236,2023-03-14 14:00:00+01:00,-8.876225937895178
576,2022-01-25 02:00:00+01:00,5.483332406506321
895,2022-02-07 09:00:00+01:00,-24.90055365474342
10486,2023-03-25 00:00:00+01:00,-3.034898670557709
5638,2022-08-31 00:00:00+02:00,-43.189190524306696
6551,2022-10-11 01:00:00+02:00,56.01216473791695
10496,2023-03-25 10:00:00+01:00,-4.218930456736286
1909,2022-03-23 06:00:00+01:00,0.4394725464764519
7629,2022-11-24 23:00:00+01:00,57.2803235675876
7081,2022-11-02 03:00:00+01:00,-24.813494698017514
6522,2022-10-09 20:00:00+02:00,-38.561447701031625
2917,2022-05-06 15:00:00+02:00,9.206112978494277
3405,2022-05-26 23:00:00+02:00,-3.555905941156425
10574,2023-03-28 17:00:00+02:00,7.840774666771821
1044,2022-02-15 05:00:00+01:00,9.667234275867456
3001,2022-05-10 03:00:00+02:00,10.276987997353755
7801,2022-12-02 03:00:00+01:00,6.85898408033313
6944,2022-10-27 10:00:00+02:00,-20.01975480769229
466,2022-01-20 12:00:00+01:00,-14.711536446572095
3854,2022-06-17 16:00:00+02:00,47.6539870012482
9238,2023-01-31 00:00:00+01:00,9.27216421143845
9616,2023-02-15 18:00:00+01:00,13.551547728603708
